%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210379, 2014/11/26 10:38:4.79)
1 10  8.473020866394042514e+02 0 0 1.929951e+00 1.092194e+00 -2.165461e-01 1.216151e+00 -1.181946e+00 1.199730e+00 
2 19  7.245831474304198991e+02 0 0 4.878094e-01 -3.592223e-01 -2.322739e-01 1.222435e+00 -1.184420e+00 1.201447e+00 
3 28  3.731874732971191406e+02 0 0 -1.909981e-01 -4.877039e-02 -2.365998e-01 1.224602e+00 -1.198629e+00 1.204587e+00 
4 37  4.554128982543945199e+02 0 0 -3.484102e-01 5.932338e-02 -2.169457e-01 1.228053e+00 -1.200769e+00 1.203441e+00 
5 46  3.629814002990722770e+02 0 0 -1.916875e-01 -2.011720e-03 -2.506406e-01 1.232219e+00 -1.199847e+00 1.203970e+00 
6 55  7.206051544189452898e+02 0 0 5.519439e-01 -3.060220e-01 -2.940087e-01 1.228010e+00 -1.187553e+00 1.204443e+00 
7 64  6.449554763793945540e+02 0 0 3.216214e+00 1.162667e+00 -3.057136e-01 1.237952e+00 -1.176444e+00 1.207101e+00 
8 73  6.756590850830077670e+02 0 0 8.213378e-01 2.468120e-01 -3.697052e-01 1.228324e+00 -1.196122e+00 1.204493e+00 
9 82  7.773229648590088345e+02 0 0 1.805123e-01 -8.778049e-01 -4.531065e-01 1.228358e+00 -1.206047e+00 1.204141e+00 
10 91  5.114120986938476676e+02 0 0 5.124950e-01 8.365212e-02 -3.683724e-01 1.237501e+00 -1.202396e+00 1.208563e+00 
11 100  6.704398532867431868e+02 0 0 3.327029e+00 1.321883e+00 -4.063717e-01 1.228976e+00 -1.202999e+00 1.202143e+00 
12 109  7.065120452880859148e+02 0 0 4.111810e+00 8.990183e-01 -3.720621e-01 1.237781e+00 -1.205186e+00 1.204870e+00 
13 118  6.432452827453613509e+02 0 0 4.501897e+00 1.211482e+00 -3.852762e-01 1.230096e+00 -1.194565e+00 1.203262e+00 
14 127  6.663302230834960938e+02 0 0 5.715330e+00 1.111263e+00 -3.353120e-01 1.218802e+00 -1.188518e+00 1.203866e+00 
15 136  6.456229270935058366e+02 0 0 6.437715e+00 1.184365e+00 -3.732543e-01 1.242279e+00 -1.180462e+00 1.206199e+00 
16 145  5.914845787048340071e+02 0 0 4.888191e-01 -2.857185e-01 -5.310843e-01 1.225908e+00 -1.204660e+00 1.204123e+00 
17 154  6.979828296661377180e+02 0 0 8.862337e-01 4.554963e-02 -4.909733e-01 1.219863e+00 -1.206077e+00 1.196526e+00 
18 163  7.909471961975098111e+02 0 0 8.278989e-01 3.299240e-01 -3.874519e-01 1.220567e+00 -1.184482e+00 1.198605e+00 
19 172  6.026607727050781023e+02 0 0 -1.651421e-01 -7.138805e-02 -3.342769e-01 1.216612e+00 -1.167789e+00 1.198824e+00 
20 181  7.939858406066894077e+02 0 0 -5.115171e-01 -1.077072e+00 -4.033527e-01 1.221293e+00 -1.175302e+00 1.206412e+00 
21 190  3.986220630645751726e+02 0 0 4.680668e-03 -1.082213e-01 -5.633362e-01 1.231514e+00 -1.190357e+00 1.204546e+00 
22 199  6.334226348876952670e+02 0 0 -1.285887e-01 -6.893367e-01 -4.544986e-01 1.227260e+00 -1.176796e+00 1.197462e+00 
